epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.222,1.48287,1.5417,1.41844,0.74074,0.70141,0.79362,0.42906,1.55853,1.17768,1.4126,0.000332936,0.000332936,0.000332936
2,657.65,1.40952,0.97757,1.35308,0.84895,0.74088,0.87131,0.50837,1.51214,0.91906,1.38283,0.000644282,0.000644282,0.000644282
3,970.956,1.37841,0.93336,1.33834,0.86986,0.85633,0.87218,0.53343,1.42255,0.70882,1.31023,0.000933629,0.000933629,0.000933629
4,1283.34,1.34837,0.87465,1.32253,0.91961,0.84463,0.90202,0.55881,1.36923,0.66026,1.29701,0.000901,0.000901,0.000901
5,1594.05,1.31785,0.82021,1.30171,0.83812,0.84688,0.89733,0.56174,1.38357,0.67069,1.28988,0.000868,0.000868,0.000868
6,1905.05,1.28982,0.7941,1.28598,0.94169,0.86128,0.9166,0.58855,1.34659,0.6268,1.27151,0.000835,0.000835,0.000835
7,2214.18,1.26714,0.76115,1.27066,0.90486,0.86371,0.91477,0.58162,1.40305,0.63044,1.31099,0.000802,0.000802,0.000802
8,2522.48,1.24439,0.74058,1.25728,0.91625,0.90468,0.92496,0.59104,1.38428,0.6293,1.28354,0.000769,0.000769,0.000769
9,2832.57,1.2321,0.72598,1.25098,0.83803,0.88797,0.90081,0.58395,1.38702,0.64386,1.29756,0.000736,0.000736,0.000736
10,3140.82,1.21538,0.71355,1.23969,0.92033,0.87764,0.92401,0.58662,1.36377,0.55458,1.29125,0.000703,0.000703,0.000703
11,3449.78,1.20401,0.68755,1.23228,0.90558,0.9016,0.93335,0.61033,1.32859,0.5606,1.26254,0.00067,0.00067,0.00067
12,3757.34,1.19333,0.67675,1.22627,0.92564,0.89473,0.91241,0.59147,1.32965,0.5863,1.25595,0.000637,0.000637,0.000637
13,4064.99,1.17654,0.67232,1.22072,0.91903,0.90448,0.91443,0.60168,1.33964,0.55105,1.26939,0.000604,0.000604,0.000604
14,4374.66,1.17263,0.65765,1.21434,0.9232,0.86668,0.91195,0.60011,1.36815,0.56314,1.28345,0.000571,0.000571,0.000571
15,4682.36,1.16175,0.65357,1.21025,0.89257,0.89154,0.92746,0.61121,1.31082,0.54594,1.25446,0.000538,0.000538,0.000538
16,4990.61,1.1474,0.64128,1.20116,0.91585,0.90457,0.92477,0.60642,1.35437,0.56635,1.27537,0.000505,0.000505,0.000505
17,5299.41,1.13907,0.62552,1.19459,0.89931,0.9087,0.91849,0.59829,1.35359,0.56365,1.27411,0.000472,0.000472,0.000472
18,5606.19,1.12782,0.61733,1.19622,0.91934,0.88238,0.94138,0.61864,1.35285,0.52999,1.26746,0.000439,0.000439,0.000439
19,5915.38,1.12394,0.61939,1.18685,0.93597,0.88252,0.92423,0.61136,1.31502,0.54464,1.2545,0.000406,0.000406,0.000406
20,6223.55,1.11152,0.60275,1.1792,0.89913,0.89486,0.93873,0.62609,1.31366,0.51531,1.24916,0.000373,0.000373,0.000373
21,6527.17,1.10419,0.52361,1.21406,0.9192,0.88689,0.92465,0.61697,1.30398,0.52406,1.24465,0.00034,0.00034,0.00034
22,6828.19,1.08564,0.51746,1.20691,0.92456,0.87745,0.93303,0.62723,1.31331,0.53949,1.24889,0.000307,0.000307,0.000307
23,7127.8,1.07377,0.50485,1.19858,0.92834,0.86871,0.93387,0.62758,1.28203,0.52175,1.23378,0.000274,0.000274,0.000274
24,7429.77,1.06589,0.49804,1.19589,0.90276,0.90865,0.93081,0.63001,1.29673,0.53989,1.24624,0.000241,0.000241,0.000241
25,7728.65,1.0488,0.48976,1.18121,0.92743,0.89991,0.93393,0.62607,1.29078,0.51653,1.23553,0.000208,0.000208,0.000208
26,8030.44,1.0408,0.48146,1.18116,0.93823,0.88205,0.92749,0.6234,1.32107,0.53281,1.25404,0.000175,0.000175,0.000175
27,8331.76,1.0305,0.47298,1.16944,0.91784,0.90388,0.9309,0.62223,1.30989,0.53355,1.24558,0.000142,0.000142,0.000142
28,8634.89,1.0151,0.46414,1.16405,0.91776,0.9072,0.92036,0.6144,1.32085,0.52702,1.25205,0.000109,0.000109,0.000109
29,8935.97,1.00673,0.45644,1.16223,0.9021,0.9096,0.93028,0.62636,1.30977,0.53041,1.24357,7.6e-05,7.6e-05,7.6e-05
30,9237.18,0.99627,0.44817,1.15243,0.90402,0.91436,0.92826,0.6272,1.31003,0.52646,1.24555,4.3e-05,4.3e-05,4.3e-05
